experiment,method,role,model,task_id,n_candidates,best_true,acc_range,spearman,regret@1,nregret@1,hit@1,ndcg@1,regret@3,nregret@3,hit@3,ndcg@3,regret@5,nregret@5,hit@5,ndcg@5,regret@10,nregret@10,hit@10,ndcg@10
meta_only,model,model,extra_trees,3022,112.0,0.997979797979798,0.997979797979798,,0.07272679797979797,0.07287401821862348,0.0,0.9271259817813765,0.07272679797979797,0.07287401821862348,0.0,0.88902344084439,0.001009797979797944,0.001011842105263122,0.0,0.9167273001236577,0.001009797979797944,0.001011842105263122,0.0,0.8289325612316208
meta_only,model,model,extra_trees,3481,83.0,0.9779402334231115,0.939463896370399,,0.07207923342311151,0.07672379290102395,0.0,0.9232762070989761,0.01795523342311156,0.019112212286689533,0.0,0.9074754627979725,0.0017952334231114975,0.0019109126279863952,0.0,0.9256670195770377,0.0010260356547390215,0.0010921501706484846,0.0,0.7954478509738152
meta_only,model,model,extra_trees,3549,116.0,0.998811,0.6623068382877526,,0.01902499999999996,0.028725356436277896,0.0,0.9712746435637223,0.01902499999999996,0.028725356436277896,0.0,0.7364356026460063,0.01902499999999996,0.028725356436277896,0.0,0.799430150888452,6.06420926807516e-08,9.156193047550027e-08,0.0,0.721480181449017
meta_only,model,model,extra_trees,3560,100.0,0.26348808030112925,0.0941028858218319,,0.07277308030112925,0.7733352666666665,0.0,0.22666473333333345,0.05897108030112924,0.6266660133333332,0.0,0.3085746543074776,0.01505608030112926,0.15999594666666686,0.0,0.44801174392239945,0.01505608030112926,0.15999594666666686,0.0,0.46192169382884773
meta_only,model,model,extra_trees,3573,57.0,0.9910428571428571,0.8885714285714286,,0.11572885714285708,0.1302414790996784,0.0,0.8697585209003216,0.008942857142857141,0.010064308681672024,0.0,0.9356457877181402,0.008942857142857141,0.010064308681672024,0.0,0.9500247749522389,0.008942857142857141,0.010064308681672024,0.0,0.9535877082084384
meta_only,model,model,extra_trees,3902,89.0,0.929355281207133,0.17558299039780512,,0.024005281207132967,0.13671757812499954,0.0,0.8632824218750005,0.024005281207132967,0.13671757812499954,0.0,0.8216153311000989,0.012345281207132963,0.07031023437499949,0.0,0.8590811822703586,0.012345281207132963,0.07031023437499949,0.0,0.858010659896465
meta_only,model,model,extra_trees,3903,86.0,0.909149072296865,0.6513115802943059,,0.004478072296865032,0.006875468565815368,0.0,0.9931245314341844,0.002559072296865028,0.003929106090373319,0.0,0.9767291067525563,0.0019190722968650542,0.0029464734774067576,0.0,0.9830144768778086,0.0019190722968650542,0.0029464734774067576,0.0,0.9858501611178265
meta_only,model,model,extra_trees,3904,81.0,0.824345429490124,0.26311437758383094,,9.142949012397317e-05,0.0003474895251394721,0.0,0.9996525104748605,9.142949012397317e-05,0.0003474895251394721,0.0,0.8368046621595402,9.142949012397317e-05,0.0003474895251394721,0.0,0.8637388076306138,9.142949012397317e-05,0.0003474895251394721,0.0,0.9024730766592929
meta_only,model,model,extra_trees,3913,143.0,0.8697318007662835,0.31417624521072796,,0.053639800766283496,0.17073156097560968,0.0,0.8292684390243903,0.053639800766283496,0.17073156097560968,0.0,0.8021157764577129,0.021072800766283484,0.06707318292682914,0.0,0.8442114844469022,0.021072796934865856,0.06707317073170718,0.0,0.8204706602252873
meta_only,model,model,extra_trees,3917,93.0,0.8734,0.2925559999999999,,0.023233999999999977,0.0794172739578063,0.0,0.9205827260421937,0.023233999999999977,0.0794172739578063,0.0,0.8857799135385792,0.0,0.0,1.0,0.9197315834963478,0.0,0.0,1.0,0.8570839228328624
meta_only,model,model,extra_trees,3918,100.0,0.9413886384129847,0.1956717763751128,,0.010820638412984751,0.055299944700461214,0.0,0.9447000552995388,0.006311638412984655,0.0322562534562211,0.0,0.9251840145539715,0.004508638412984656,0.023041843317972262,0.0,0.9377248150854055,0.0009017132551849549,0.004608294930876104,0.0,0.9425795760176594
meta_only,model,model,extra_trees,7592,84.0,0.8755988698251506,0.12069530322263633,,0.019777869825150507,0.1638661099236642,0.0,0.8361338900763358,0.0016988698251505507,0.014075691263783401,0.0,0.9067191271863279,0.0016988698251505507,0.014075691263783401,0.0,0.6710065778046764,0.0,0.0,1.0,0.6785275227754293
meta_only,model,model,extra_trees,9910,29.0,0.8160490535857104,0.23220474540122626,,0.08157824580111961,0.3513203214695749,0.0,0.6486796785304251,0.0021327645961076724,0.009184845005740393,0.0,0.7581487933958596,0.0021327645961076724,0.009184845005740393,0.0,0.7797340787087704,0.0021327645961076724,0.009184845005740393,0.0,0.8432690193390022
meta_only,model,model,extra_trees,9946,123.0,0.9841827768014059,0.5869947275922671,,0.026361776801405834,0.04490973353293389,0.0,0.955090266467066,0.026361776801405834,0.04490973353293389,0.0,0.8106246994894876,0.0035147768014058833,0.005987748502993855,0.0,0.8563148359200695,0.0035147768014058833,0.005987748502993855,0.0,0.8727287624466795
meta_only,model,model,extra_trees,9952,120.0,0.9224648408586232,0.21595114729829745,,0.021465840858623242,0.09940137446443878,0.0,0.9005986255355612,0.021465840858623242,0.09940137446443878,0.0,0.8098284051116404,0.010177840858623277,0.04713029305912615,0.0,0.8507838468981779,0.010177840858623277,0.04713029305912615,0.0,0.7598886516041103
meta_only,model,model,extra_trees,9957,125.0,0.8938388625592417,0.27203791469194316,,0.03696686255924175,0.13588864111498272,0.0,0.8641113588850172,0.03696686255924175,0.13588864111498272,0.0,0.8002971415260159,0.02274886255924169,0.08362386759581875,0.0,0.8328681617255896,0.005686862559241668,0.020904668989546894,0.0,0.8440768870982048
meta_only,model,model,extra_trees,9960,106.0,0.998533724340176,0.5943914956011731,,0.005131724340175947,0.008633576318223856,0.0,0.991366423681776,0.004215724340175919,0.007092504471168613,0.0,0.958244900794439,0.0005497243401759722,0.0009248522972556595,0.0,0.9487235678109265,0.0005497243401759722,0.0009248522972556595,0.0,0.8714572765975075
meta_only,model,model,extra_trees,9964,105.0,0.9667294413057125,0.8750784682988073,,0.07156344130571246,0.08177945624103296,0.0,0.918220543758967,0.02887644130571243,0.03299868794835,0.0,0.8814174713660546,0.02887644130571243,0.03299868794835,0.0,0.8918684942496408,0.0037664783427495685,0.004304160688665755,0.0,0.7945257270745697
meta_only,model,model,extra_trees,9971,100.0,0.7427101200686106,0.1783881200686106,,0.03945112006861062,0.2211532923461336,0.0,0.7788467076538664,0.02401412006861059,0.13461726071990904,0.0,0.770000827985359,0.018868120068610605,0.10577004825968041,0.0,0.8094236206541849,0.0034305317324184736,0.019230718565221957,0.0,0.8463949871532682
meta_only,model,model,extra_trees,9976,89.0,0.8746153846153847,0.3746153846153847,,0.2523073846153847,0.6735104722792609,0.0,0.3264895277207391,0.1123073846153847,0.2997938398357291,0.0,0.36061995159265037,3.84615384652065e-07,1.0266940452724525e-06,0.0,0.4528886672343625,3.84615384652065e-07,1.0266940452724525e-06,0.0,0.5189263319069357
meta_only,model,model,extra_trees,9977,95.0,0.9760916872189178,0.2161613230813869,,0.028811687218917803,0.13328789261744994,0.0,0.86671210738255,0.0068476872189178195,0.03167859597315472,0.0,0.9191650166695422,0.006121687218917815,0.02831999328859094,0.0,0.9329264625435505,0.0012766574786015061,0.005906040268456498,0.0,0.8712056531357584
meta_only,model,model,extra_trees,9978,98.0,0.9490923441199685,0.2711128650355169,,0.007498344119968414,0.027657647743813633,0.0,0.9723423522561864,0.007498344119968414,0.027657647743813633,0.0,0.9229957379030587,0.0011843441199684834,0.004368454148471816,0.0,0.9387384642527101,0.0011843441199684834,0.004368454148471816,0.0,0.9484003338232295
meta_only,model,model,extra_trees,9981,309.0,0.9657407407407408,0.8546296296296296,,0.06018474074074076,0.07042201516793069,0.0,0.9295779848320693,0.06018474074074076,0.07042201516793069,0.0,0.8546263514526375,0.03611074074074083,0.042253087757313214,0.0,0.8768893854082009,0.005555740740740833,0.006500758396533152,0.0,0.8461126866137477
meta_only,model,model,extra_trees,9985,111.0,0.6389342922523701,0.4658385093167702,,0.03661329225237009,0.07859653403508779,0.0,0.9214034659649122,0.03661329225237009,0.07859653403508779,0.0,0.8557775128442495,0.005394292252370092,0.011579747368421132,0.0,0.8923604893417274,0.005394292252370092,0.011579747368421132,0.0,0.8520272790434592
meta_only,model,model,extra_trees,10093,155.0,1.0,0.555393586005831,,0.00656000000000001,0.011811443569553822,0.0,0.988188556430446,0.0,0.0,1.0,0.9870747323580193,0.0,0.0,1.0,0.9903141305927948,0.0,0.0,1.0,0.9221678594959406
meta_only,model,model,extra_trees,10101,452.0,0.8074866310160428,0.5695187165775402,,0.06684463101604277,0.11737038497652579,0.0,0.882629615023474,0.03609663101604277,0.06338093896713612,0.0,0.8878562023881493,0.029411631016042827,0.05164295774647895,0.0,0.9011053640054554,0.006684631016042775,0.011737333333333322,0.0,0.9208339464269352
meta_only,model,model,extra_trees,14952,56.0,0.9758480325644504,0.3907734056987787,,0.010583446404341834,0.027083333333333105,0.0,0.9729166666666669,0.001266395296245948,0.0032407407407404995,0.0,0.9598226320570559,0.0009950248756217528,0.0025462962962959444,0.0,0.9705830301049986,0.0006331976481228629,0.0016203703703699657,0.0,0.9598990599709151
meta_only,model,model,extra_trees,14954,47.0,0.8592592592592593,0.24814814814814812,,0.10555555555555562,0.42537313432835855,0.0,0.5746268656716415,0.012962962962962954,0.052238805970149224,0.0,0.6646107118116124,0.012962962962962954,0.052238805970149224,0.0,0.7048963044622243,0.011111111111111183,0.04477611940298537,0.0,0.7268086180717933
meta_only,model,model,extra_trees,14965,81.0,0.9099776603039084,0.06881068766450638,,0.035898660303908314,0.5217018100289296,0.0,0.47829818997107043,0.006657660303908353,0.09675328833172638,0.0,0.7094127469557995,0.0025436603039084016,0.0369660642880112,0.0,0.7381471670382077,0.0019021919444383029,0.027643844423015162,0.0,0.8098460904169246
meta_only,model,model,extra_trees,14969,100.0,0.7347310847766636,0.5223336371923427,,0.13025408477666356,0.24936951308900512,0.0,0.7506304869109949,0.13025408477666356,0.24936951308900512,0.0,0.6488608135916125,0.022587084776663602,0.04324263874345545,0.0,0.7443328511689348,0.022587084776663602,0.04324263874345545,0.0,0.6968119883367213
meta_only,model,model,extra_trees,14970,77.0,0.9957277405573356,0.8458102728420234,,0.06282174055733558,0.07427403352083564,0.0,0.9257259664791645,0.0024277405573356337,0.0028703133968545165,0.0,0.9465888168674772,0.0024277405573356337,0.0028703133968545165,0.0,0.8623319558347319,0.0,0.0,1.0,0.8337494947764695
meta_only,model,model,extra_trees,125920,83.0,0.6579999999999999,0.15599999999999992,,0.05999999999999994,0.38461538461538447,0.0,0.6153846153846155,0.02399999999999991,0.15384615384615336,0.0,0.594358207921941,0.02399999999999991,0.15384615384615336,0.0,0.661367108459211,0.0,0.0,1.0,0.7658131992086638
meta_only,model,model,extra_trees,125922,99.0,0.9994545454545455,0.9256363636363637,,0.03181854545454543,0.03437477902180316,0.0,0.9656252209781968,0.03181854545454543,0.03437477902180316,0.0,0.9529421568984568,0.0005455454545454375,0.0005893734040463379,0.0,0.9650554245110496,0.0001818181818182829,0.00019642506383825496,0.0,0.8567790243628665
meta_only,model,model,extra_trees,146195,71.0,0.8688070814275354,0.26003226904687904,,0.00171706854952125,0.006603290260147267,0.0,0.9933967097398527,0.00171706854952125,0.006603290260147267,0.0,0.9371660883703187,0.00171706854952125,0.006603290260147267,0.0,0.9020415141028723,0.00171706854952125,0.006603290260147267,0.0,0.8192892832899306
meta_only,model,model,extra_trees,146800,51.0,1.0,0.8611111111111112,,0.1425925925925925,0.16559139784946225,0.0,0.8344086021505376,0.00462962962962965,0.005376344086021529,0.0,0.8769589598049363,0.0009259259259259967,0.001075268817204383,0.0,0.9111772004452089,0.0009259259259259967,0.001075268817204383,0.0,0.8882416798738413
meta_only,model,model,extra_trees,146817,74.0,0.8181349819680577,0.5574446161772282,,0.09788768675940229,0.1756007393715341,0.0,0.8243992606284659,0.0025759917568263235,0.0046210720887244865,0.0,0.7673218908045564,0.0025759917568263235,0.0046210720887244865,0.0,0.8102493595446277,0.0025759917568263235,0.0046210720887244865,0.0,0.8367977957333455
meta_only,model,model,extra_trees,146819,71.0,0.9666666666666667,0.20185185185185184,,0.062962962962963,0.31192660550458734,0.0,0.6880733944954126,0.0185185185185186,0.09174311926605545,0.0,0.7794438502230702,0.005555555555555536,0.027522935779816418,0.0,0.8359902649173778,0.0,0.0,1.0,0.8758187270752963
meta_only,model,model,extra_trees,146820,61.0,0.9894606323620583,0.32300061996280216,,0.009919404835709855,0.030710172744721688,0.0,0.9692898272552783,0.0035131225459805737,0.010876519513755598,0.0,0.9512054119881866,0.0008266170696423769,0.002559181062059797,0.0,0.9642102121438492,0.0008266170696423769,0.002559181062059797,0.0,0.9690078992800797
meta_only,model,model,extra_trees,146821,61.0,1.0,0.3032407407407408,,0.01620370370370372,0.053435114503816834,0.0,0.9465648854961831,0.0,0.0,1.0,0.9749240375407686,0.0,0.0,1.0,0.973235487418349,0.0,0.0,1.0,0.8402510272559285
meta_only,model,model,extra_trees,146822,77.0,0.9467532467532468,0.8038961038961039,,0.023809523809523836,0.029617662897145968,0.0,0.970382337102854,0.0060606060606061,0.007539041464728105,0.0,0.9524860770870753,0.0060606060606061,0.007539041464728105,0.0,0.9595543156515884,0.0034632034632035014,0.004308023694130365,0.0,0.9195335131212931
meta_only,model,model,extra_trees,146824,57.0,0.9834999999999999,0.8839999999999999,,0.118,0.1334841628959276,0.0,0.8665158371040724,0.0044999999999998375,0.005090497737556378,0.0,0.9248866920692206,0.0004999999999999449,0.0005656108597284446,0.0,0.94563122477428,0.0004999999999999449,0.0005656108597284446,0.0,0.9083634445023658
meta_only,model,model,extra_trees,146825,38.0,0.9148142857142857,0.8156857142857142,,0.03035714285714286,0.03721671512137028,0.0,0.9627832848786297,0.01967142857142845,0.024116431398647793,0.0,0.9415233931444953,0.01967142857142845,0.024116431398647793,0.0,0.9518194499615674,0.01967142857142845,0.024116431398647793,0.0,0.8484061351661446
meta_only,model,model,extra_trees,167119,55.0,0.8780204823847029,0.2892077020906312,,0.08779758584528874,0.3035796944915905,0.0,0.6964203055084095,0.045895713871349164,0.15869464588798013,0.0,0.6223081854861852,0.016287735112340718,0.05631846937201039,0.0,0.7171685421151799,0.0,0.0,1.0,0.7069927934846715
meta_only,model,model,extra_trees,167120,39.0,0.5226640365448505,0.02209302325581397,,0.020359219269103,0.9215225563909772,0.0,0.07847744360902274,0.0004983388704319358,0.0225563909774455,0.0,0.5312181617551585,0.0004983388704319358,0.0225563909774455,0.0,0.6311290548732762,1.0382059800750909e-05,0.00046992481203398816,0.0,0.6655672501578312
meta_only,model,model,extra_trees,167121,10.0,0.9450978260869566,0.9223260869565219,,0.3443260869565218,0.373323591109435,0.0,0.626676408890565,0.0,0.0,1.0,0.8264178817878932,0.0,0.0,1.0,0.7474536150566936,0.0,0.0,1.0,0.8838156333576629
meta_only,model,model,extra_trees,167124,10.0,0.58735,0.43163333333333337,,0.12495,0.2894818132674338,0.0,0.7105181867325663,0.12495,0.2894818132674338,0.0,0.6663462515867571,0.12495,0.2894818132674338,0.0,0.5983309406100381,0.0,0.0,1.0,0.8355555959716763
meta_only,model,model,extra_trees,167125,11.0,0.9789569990850869,0.20890515401036902,,0.07319304666056725,0.35036496350364965,0.0,0.6496350364963503,0.0,0.0,1.0,0.5472020127990734,0.0,0.0,1.0,0.6585886731675221,0.0,0.0,1.0,0.7785442533259538
meta_only,model,model,extra_trees,167140,46.0,0.9686126804770872,0.4494664155681104,,0.017263025737601856,0.03840782122904995,0.0,0.96159217877095,0.004394224733207719,0.009776536312849018,0.0,0.9797986984660625,0.0034526051475202157,0.007681564245809644,0.0,0.9837330092088038,0.0034526051475202157,0.007681564245809644,0.0,0.9302525064091207
meta_only,model,model,extra_trees,167141,69.0,0.9616,0.6604,,0.00660000000000005,0.009993943064809283,0.0,0.9900060569351907,0.00660000000000005,0.009993943064809283,0.0,0.973012612447934,0.006000000000000005,0.009085402786190196,0.0,0.9751843905110172,0.005199999999999982,0.00787401574803147,0.0,0.9636151120948583
